,Name,Age,Overall,Potential,Special,Nationality,Club
98,S. Mustafi,24,84,88,1950,Germany,Arsenal
99,Ander Herrera,26,84,84,2203,Spain,Manchester United
100,N. Matić,27,84,84,2138,Serbia,Chelsea
101,Alex Sandro,25,84,87,2176,Brazil,Juventus
102,K. Glik,28,84,84,1597,Poland,AS Monaco
103,K. Strootman,26,84,85,2168,Netherlands,Roma
104,N. Gaitán,28,84,84,2018,Argentina,Atlético Madrid
105,Bruno,32,84,84,2080,Spain,Villarreal CF
106,I. Perišić,27,84,84,2086,Croatia,Inter
107,David Luiz,29,84,84,2126,Brazil,Chelsea
108,S. Khedira,29,84,84,2175,Germany,Juventus
109,B. Höwedes,28,84,84,1875,Germany,FC Schalke 04
110,R. Fährmann,27,84,85,1189,Germany,FC Schalke 04
111,Sergio Asenjo,27,84,85,1341,Spain,Villarreal CF
112,E. Banega,28,84,84,2109,Argentina,Inter
113,M. Benatia,29,84,84,1766,Morocco,Juventus
114,Dani Alves,33,84,84,2210,Brazil,Juventus
115,A. Turan,29,84,84,2166,Turkey,FC Barcelona
116,J. Mascherano,32,84,84,1999,Argentina,FC Barcelona
117,Aduriz,35,84,84,1990,Spain,Athletic Club de Bilbao
118,Y. Touré,33,84,84,2189,Ivory Coast,Manchester City
119,E. Bailly,22,83,90,1890,Ivory Coast,Manchester United
120,Bernardo Silva,21,83,90,1993,Portugal,AS Monaco
121,J. Giménez,21,83,88,1762,Uruguay,Atlético Madrid
122,J. Giménez,21,83,88,1762,Uruguay,Atlético Madrid
123,N. Kanté,25,83,86,2147,France,Chelsea
124,G. Rulli,24,83,89,1284,Argentina,Real Sociedad
125,João Mário,23,83,88,2114,Portugal,Inter
126,André Gomes,22,83,89,2091,Portugal,FC Barcelona
127,Marquinhos,22,83,89,1868,Brazil,Paris Saint-Germain
128,C. Bacca,29,83,83,1914,Colombia,Milan
129,William Carvalho,24,83,86,1984,Portugal,Sporting CP
130,S. Umtiti,22,83,88,2112,France,FC Barcelona
131,V. van Dijk,24,83,86,2005,Netherlands,Southampton
132,K. Bellarabi,26,83,83,1978,Germany,Bayer 04 Leverkusen
133,R. Sterling,21,83,88,1959,England,Manchester City
134,J. Draxler,22,83,86,1990,Germany,Paris Saint-Germain
135,Roberto Firmino,24,83,87,2105,Brazil,Liverpool
136,M. Rojo,26,83,84,2073,Argentina,Manchester United
137,K. Koulibaly,25,83,86,1612,Senegal,Napoli
138,Danilo Pereira,24,83,86,2035,Portugal,FC Porto
139,T. Horn,23,83,89,1254,Germany,1. FC Köln
140,Vitolo,26,83,83,1988,Spain,Sevilla FC
141,A. Lopes,25,83,86,1321,Portugal,Olympique Lyonnais
142,M. Perin,23,83,88,1246,Italy,Genoa
143,J. Matip,24,83,85,1903,Cameroon,Liverpool
144,J. Cuadrado,28,83,83,2126,Colombia,Juventus
145,Iago Aspas,28,83,83,2015,Spain,RC Celta
146,N. Otamendi,28,83,83,1905,Argentina,Manchester City
147,J. Pastore,27,83,83,2079,Argentina,Paris Saint-Germain
148,Douglas Costa,25,83,83,2100,Brazil,FC Bayern München
149,C. Smalling,26,83,84,1850,England,Manchester United
150,Pedro,28,83,83,1980,Spain,Chelsea
151,G. Bonaventura,26,83,83,2203,Italy,Milan
152,R. Bürki,25,83,85,1256,Switzerland,Borussia Dortmund
154,S. N'Zonzi,27,83,83,2036,France,Sevilla FC
155,A. Ramsey,25,83,85,2128,Wales,Arsenal
156,M. Musacchio,25,83,86,1924,Argentina,Villarreal CF
157,O. Toprak,26,83,84,1866,Turkey,Bayer 04 Leverkusen
158,José Callejón,29,83,83,1987,Spain,Napoli
159,Adrien Silva,27,83,83,2179,Portugal,Sporting CP
160,Azpilicueta,26,83,83,2100,Spain,Chelsea
161,S. Giovinco,29,83,83,1961,Italy,Toronto FC
162,A. Modeste,28,83,83,1932,France,1. FC Köln
163,M. Mandžukić,30,83,83,2070,Croatia,Juventus
164,E. Džeko,30,83,83,1850,Bosnia Herzegovina,Roma
165,A. Lallana,28,83,83,2146,England,Liverpool
166,O. Giroud,29,83,83,1949,France,Arsenal
167,Rui Patrício,28,83,83,1350,Portugal,Sporting CP
168,Y. Sommer,27,83,84,1299,Switzerland,Borussia Mönchengladbach
169,Jonas,32,83,83,2015,Brazil,SL Benfica
170,K. Gameiro,29,83,83,2039,France,Atlético Madrid
171,L. Piszczek,31,83,83,2141,Poland,Borussia Dortmund
172,J. Vertonghen,29,83,83,2069,Belgium,Tottenham Hotspur
173,A. Begović,29,83,83,1240,Bosnia Herzegovina,Chelsea
174,Naldo,33,83,83,1974,Brazil,FC Schalke 04
175,D. Sturridge,26,83,83,1906,England,Liverpool
176,E. Garay,29,83,83,1964,Argentina,Valencia CF
177,G. Cahill,30,83,83,1838,England,Chelsea
178,A. Williams,31,83,83,1786,Wales,Everton
179,S. Mandanda,31,83,83,1217,France,Crystal Palace
180,L. Baines,31,83,83,2245,England,Everton
181,K. Schmeichel,29,83,84,1288,Denmark,Leicester City
182,Borja Valero,31,83,83,2096,Spain,Fiorentina
183,Borja Valero,31,83,83,2096,Spain,Fiorentina
184,H. Ben Arfa,29,83,83,2067,France,Paris Saint-Germain
185,Juanfran,31,83,83,2079,Spain,Atlético Madrid
186,W. Sneijder,32,83,83,1989,Netherlands,Galatasaray SK
187,Nani,29,83,83,1960,Portugal,Valencia CF
188,S. Lichtsteiner,32,83,83,2093,Switzerland,Juventus
189,D. De Rossi,32,83,83,2119,Italy,Roma
190,José Reina,33,83,83,1291,Spain,Napoli
191,Quaresma,32,83,83,1960,Portugal,Beşiktaş JK
192,L. Sané,20,82,91,1997,Germany,Manchester City
193,Marco Asensio,20,82,89,1979,Spain,Real Madrid
194,I. Slimani,28,82,82,2010,Algeria,Leicester City
195,J. Tah,20,82,88,1646,Germany,Bayer 04 Leverkusen
196,N. Süle,20,82,88,1603,Germany,TSG 1899 Hoffenheim
197,A. Martial,20,82,90,2046,France,Manchester United
198,D. Alli,20,82,90,2072,England,Tottenham Hotspur
199,Ederson,22,82,87,1288,Brazil,SL Benfica
200,M. Salah,24,82,85,2001,Egypt,Roma
201,S. Mané,24,82,85,2030,Senegal,Liverpool
202,Lucas Vázquez,25,82,83,2004,Spain,Real Madrid
203,A. Belotti,22,82,89,1927,Italy,Torino
204,F. Vázquez,27,82,82,2000,Italy,Sevilla FC
205,Manu Trigueros,24,82,85,2122,Spain,Villarreal CF
206,S. Savić,25,82,86,1694,Montenegro,Atlético Madrid
207,Roque Mesa,27,82,82,2013,Spain,UD Las Palmas
208,L. Karius,23,82,87,1214,Germany,Liverpool
209,A. Florenzi,25,82,85,2264,Italy,Roma
210,J. Butland,23,82,89,1265,England,Stoke City
211,Morata,23,82,86,1843,Spain,Real Madrid
212,Lucas,23,82,85,2045,Brazil,Paris Saint-Germain
213,F. Acerbi,27,82,83,1820,Italy,Sassuolo
214,G. Xhaka,23,82,86,2009,Switzerland,Arsenal
215,S. de Vrij,24,82,88,1782,Netherlands,Lazio
216,Jonathan Viera,26,82,82,2102,Spain,UD Las Palmas
217,Pizzi,26,82,82,2166,Portugal,SL Benfica
218,S. Aurier,23,82,87,2150,Ivory Coast,Paris Saint-Germain
219,G. Krychowiak,26,82,84,2004,Poland,Paris Saint-Germain
220,K. Kampl,25,82,84,2036,Slovenia,Bayer 04 Leverkusen
221,G. Medel,28,82,82,2029,Chile,Inter
222,I. Gueye,26,82,83,2041,Senegal,Everton
223,Víctor Ruíz,27,82,83,1838,Spain,Villarreal CF
224,X. Shaqiri,24,82,85,2117,Switzerland,Stoke City
225,C. Immobile,26,82,83,1955,Italy,Lazio
226,M. Götze,24,82,86,1970,Germany,Borussia Dortmund
227,N. Clyne,25,82,85,2059,England,Liverpool
228,Iborra,28,82,82,2072,Spain,Sevilla FC
229,J. Wilshere,24,82,85,2129,England,Bournemouth
230,S. Kagawa,27,82,82,1876,Japan,Borussia Dortmund
231,B. Dost,27,82,82,1781,Netherlands,Sporting CP
232,K. Trapp,25,82,85,1194,Germany,Paris Saint-Germain
233,Taison,28,82,82,2047,Brazil,Shakhtar Donetsk
234,K. Walker,26,82,83,2155,England,Tottenham Hotspur
235,Marlos,28,82,82,2058,Brazil,Shakhtar Donetsk
236,Luiz Gustavo,28,82,82,2001,Brazil,VfL Wolfsburg
237,Giuliano,26,82,83,2043,Brazil,Zenit St. Petersburg
238,G. Sigurðsson,26,82,82,2090,Iceland,Swansea City
239,Y. Brahimi,26,82,82,1965,Algeria,FC Porto
240,M. Arnautović,27,82,82,2098,Austria,Stoke City
241,J. Henderson,26,82,84,2187,England,Liverpool
242,O. Karnezis,30,82,82,1224,Greece,Udinese
243,M. Sakho,26,82,83,1741,France,Crystal Palace
244,M. Sakho,26,82,83,1741,France,Crystal Palace
245,A. Rami,30,82,82,1740,France,Sevilla FC
246,F. Muslera,30,82,82,1370,Uruguay,Galatasaray SK
247,V. Ćorluka,30,82,82,1916,Croatia,Lokomotiv Moscow
248,S. Coleman,27,82,82,2086,Republic of Ireland,Everton
249,J. Hernández,28,82,82,1938,Mexico,Bayer 04 Leverkusen
250,Beñat,29,82,82,2109,Spain,Athletic Club de Bilbao
251,L. Bender,27,82,83,2042,Germany,Bayer 04 Leverkusen
253,M. Schneiderlin,26,82,83,2079,France,Everton
254,C. Bravo,33,82,82,1414,Chile,Manchester City
255,K. Mirallas,28,82,82,2071,Belgium,Everton
256,José Fonte,32,82,82,1684,Portugal,West Ham United
257,C. Vela,27,82,82,1957,Mexico,Real Sociedad
258,E. Viviano,30,82,82,1162,Italy,Sampdoria
259,A. Valencia,30,82,82,2188,Ecuador,Manchester United
260,G. Castro,29,82,82,2162,Germany,Borussia Dortmund
261,Falcao,30,82,82,1988,Colombia,AS Monaco
262,S. Nasri,29,82,82,1933,France,Sevilla FC
263,A. Consigli,29,82,82,1183,Italy,Sassuolo
264,João Moutinho,29,82,82,2204,Portugal,AS Monaco
265,M. Dembélé,28,82,82,2183,Belgium,Tottenham Hotspur
266,L. Perrin,30,82,82,2044,France,AS Saint-Étienne
267,L. Biglia,30,82,82,2124,Argentina,Lazio
268,Dante,32,82,82,1878,Brazil,OGC Nice
269,B. Costil,28,82,82,1171,France,Stade Rennais FC
270,Raúl Albiol,30,82,82,1745,Spain,Napoli
271,J. Hart,29,82,82,1338,England,Torino
272,M. Gómez,30,82,82,1834,Germany,VfL Wolfsburg
273,Gabi,32,82,82,2124,Spain,Atlético Madrid
274,Diego López,34,82,82,1193,Spain,RCD Espanyol
275,Raffael,31,82,82,2053,Brazil,Borussia Mönchengladbach
276,A. Gómez,28,82,82,1979,Argentina,Atalanta
277,G. Rodríguez,32,82,82,1871,Argentina,Fiorentina
278,V. Enyeama,33,82,82,1405,Nigeria,LOSC Lille
279,Fernandinho,31,82,82,2169,Brazil,Manchester City
280,David Villa,34,82,82,1997,Spain,New York City FC
281,Victor Valdés,34,82,82,1231,Spain,Middlesbrough
282,W. Rooney,30,82,82,2160,England,Manchester United
283,P. Mertesacker,31,82,82,1576,Germany,Arsenal
284,P. Evra,35,82,82,2050,France,Olympique de Marseille
285,M. Carrick,34,82,82,2039,England,Manchester United
286,Casillas,35,82,82,1292,Spain,FC Porto
287,O. Dembélé,19,81,91,1906,France,Borussia Dortmund
288,J. Weigl,20,81,87,1931,Germany,Borussia Dortmund
289,C. Tolisso,21,81,88,2197,France,Olympique Lyonnais
290,J. Seri,24,81,84,2165,Ivory Coast,OGC Nice
291,M. Brozović,23,81,84,2117,Croatia,Inter
292,K. Baldé Diao,21,81,89,1925,Senegal,Lazio
293,F. Bernardeschi,22,81,87,1974,Italy,Fiorentina
294,D. Berardi,21,81,83,1996,Italy,Sassuolo
295,M. Sanson,21,81,87,2199,France,Olympique de Marseille
296,Samu Castillejo,21,81,88,1907,Spain,Villarreal CF
297,A. Rabiot,21,81,88,2100,France,Paris Saint-Germain
298,L. Goretzka,21,81,87,2168,Germany,FC Schalke 04
299,Fabinho,22,81,86,2093,Brazil,AS Monaco
300,J. Vardy,29,81,81,2057,England,Leicester City
301,Q. Promes,24,81,84,1998,Netherlands,Spartak Moscow
302,H. Ziyech,23,81,84,2022,Morocco,Ajax
303,E. Forsberg,24,81,84,1910,Sweden,RB Leipzig
304,J. Hector,26,81,82,2064,Germany,1. FC Köln
305,J. Hector,26,81,82,2064,Germany,1. FC Köln
306,M. Kovačić,22,81,87,2039,Croatia,Real Madrid
307,Sergio Rico,22,81,86,1240,Spain,Sevilla FC
308,O. Shatov,25,81,81,2031,Russia,Zenit St. Petersburg
309,Jorginho,24,81,84,2120,Italy,Napoli
310,F. Thauvin,23,81,84,1959,France,Olympique de Marseille
311,Iñigo Martínez,25,81,85,1955,Spain,Real Sociedad
312,D. Klaassen,23,81,84,2103,Netherlands,Ajax
313,Suso,22,81,86,1902,Spain,Milan
314,Deulofeu,22,81,88,1927,Spain,Milan
315,Felipe Anderson,23,81,86,2051,Brazil,Lazio
316,Y. Konoplyanka,26,81,81,1974,Ukraine,FC Schalke 04
317,J. Cillessen,27,81,83,1287,Netherlands,FC Barcelona
318,Nolito,29,81,81,2004,Spain,Manchester City
319,W. Ben Yedder,25,81,82,2019,France,Sevilla FC
320,Lucas Pérez,27,81,81,2007,Spain,Arsenal
321,R. Barkley,22,81,86,2026,England,Everton
322,C. Bakambu,25,81,84,1972,DR Congo,Villarreal CF
323,Bartra,25,81,83,1968,Spain,Borussia Dortmund
324,D. Lovren,26,81,83,1748,Croatia,Liverpool
325,A. Schürrle,25,81,82,2049,Germany,Borussia Dortmund
326,R. Pereyra,25,81,84,2095,Argentina,Watford
327,Mario Gaspar,25,81,84,2096,Spain,Villarreal CF
328,F. Orellana,30,81,81,1930,Chile,Valencia CF
329,L. Hrádecký,26,81,83,1124,Finland,Eintracht Frankfurt
330,D. Blind,26,81,82,2084,Netherlands,Manchester United
331,De Marcos,27,81,81,2105,Spain,Athletic Club de Bilbao
332,Iturraspe,27,81,81,1972,Spain,Athletic Club de Bilbao
333,Parejo,27,81,81,2077,Spain,Valencia CF
334,S. Rondón,26,81,81,1807,Venezuela,West Bromwich Albion
335,Daniel Carriço,27,81,82,1950,Portugal,Sevilla FC
336,J. McCarthy,25,81,84,2063,Republic of Ireland,Everton
337,Camacho,26,81,84,2026,Spain,Málaga CF
339,A. Dzagoev,26,81,82,2153,Russia,PFC CSKA Moscow
340,I. Smolnikov,27,81,81,2067,Russia,Zenit St. Petersburg
341,L. Stindl,27,81,81,2155,Germany,Borussia Mönchengladbach
342,M. Balotelli,25,81,82,1860,Italy,OGC Nice
343,W. Szczęsny,26,81,84,1180,Poland,Roma
344,N. Kalinić,28,81,81,1893,Croatia,Fiorentina
345,Mikel San José,27,81,81,1961,Spain,Athletic Club de Bilbao
346,C. Benteke,25,81,83,1890,Belgium,Crystal Palace
347,M. Kruse,28,81,81,2035,Germany,SV Werder Bremen
348,M. Parolo,31,81,81,2156,Italy,Lazio
349,L. Fejsa,27,81,81,1955,Serbia,SL Benfica
350,G. Wijnaldum,25,81,84,2166,Netherlands,Liverpool
351,F. Fazio,29,81,81,1606,Argentina,Roma
352,S. Kjær,27,81,83,1862,Denmark,Fenerbahçe SK
353,Adán,29,81,81,1273,Spain,Real Betis
354,B. Trémoulinas,30,81,81,2136,France,Sevilla FC
355,S. Bender,27,81,82,1905,Germany,Borussia Dortmund
356,M. Valbuena,31,81,81,1944,France,Olympique Lyonnais
357,Bojan,25,81,82,1835,Spain,1. FSV Mainz 05
358,A. Fernández,30,81,81,2064,Argentina,Atlético Madrid
359,A. Candreva,29,81,81,2102,Italy,Inter
360,D. Astori,29,81,81,1663,Italy,Fiorentina
361,Raúl García,29,81,81,2128,Spain,Athletic Club de Bilbao
362,E. Lamela,24,81,84,2071,Argentina,Tottenham Hotspur
363,D. Rose,25,81,82,2102,England,Tottenham Hotspur
364,M. Škrtel,31,81,81,1665,Slovakia,Fenerbahçe SK
365,T. Walcott,27,81,81,1994,England,Arsenal
366,T. Walcott,27,81,81,1994,England,Arsenal
367,B. Sagna,33,81,81,2033,France,Manchester City
368,M. Krohn-Dehli,33,81,81,2104,Denmark,Sevilla FC
369,S. Kalou,30,81,81,1953,Ivory Coast,Hertha BSC
370,A. Gignac,30,81,81,2006,France,Tigres U.A.N.L.
371,D. Srna,34,81,81,2217,Croatia,Shakhtar Donetsk
372,B. Schweinsteiger,31,81,81,2134,Germany,Chicago Fire
373,C. Carrasso,34,81,81,1175,France,FC Girondins de Bordeaux
374,Rubén Castro,35,81,81,1900,Spain,Real Betis
375,J. Mathieu,32,81,81,1972,France,FC Barcelona
376,C. Kameni,32,81,81,1239,Cameroon,Málaga CF
377,Moyá,32,81,81,1184,Spain,Atlético Madrid
378,R. Jarstein,31,81,81,1176,Norway,Hertha BSC
379,J. Defoe,33,81,81,1887,England,Sunderland
380,T. Motta,33,81,81,2008,Italy,Paris Saint-Germain
381,Fernando Torres,32,81,81,1887,Spain,Atlético Madrid
382,Júlio César,36,81,81,1267,Brazil,SL Benfica
384,Danny,32,81,81,1956,Portugal,Zenit St. Petersburg
385,J. Terry,35,81,81,1706,England,Chelsea
386,S. Eto'o,35,81,81,2026,Cameroon,Antalyaspor
387,G. Donnarumma,17,80,92,1230,Italy,Milan
388,Nélson Semedo,22,80,86,1995,Portugal,SL Benfica
389,Gelson Martins,21,80,88,1970,Portugal,Sporting CP
390,N. Keïta,21,80,85,2030,Guinea,RB Leipzig
391,N. Fekir,22,80,86,1993,France,Olympique Lyonnais
392,Williams,22,80,86,1948,Spain,Athletic Club de Bilbao
393,T. Lemar,20,80,88,2123,France,AS Monaco
394,K. Coman,20,80,87,1866,France,FC Bayern München
395,Alisson,23,80,85,1193,Brazil,Roma
396,J. Kimmich,21,80,87,2122,Germany,FC Bayern München
397,Alex Telles,23,80,84,2156,Brazil,FC Porto
398,J. Brandt,20,80,88,1840,Germany,Bayer 04 Leverkusen
399,Bruma,21,80,86,1971,Portugal,Galatasaray SK
400,D. Rugani,21,80,88,1698,Italy,Juventus
401,R. Guerreiro,22,80,85,2148,Portugal,Borussia Dortmund
402,Saúl,21,80,88,2071,Spain,Atlético Madrid
403,Felipe,27,80,81,1743,Brazil,FC Porto
404,T. Stepanenko,26,80,81,2007,Ukraine,Shakhtar Donetsk
405,Leo Baptistao,23,80,85,1856,Brazil,RCD Espanyol
406,A. Rüdiger,23,80,84,1825,Germany,Roma
407,M. Nastasić,23,80,85,1718,Serbia,FC Schalke 04
408,Denis Suárez,22,80,87,2009,Spain,FC Barcelona
409,M. Batshuayi,22,80,85,1866,Belgium,Chelsea
410,K. Zouma,21,80,88,1879,France,Chelsea
411,J. Brooks,23,80,85,1724,United States,Hertha BSC
412,Héctor Bellerín,21,80,88,1991,Spain,Arsenal
413,J. Stones,22,80,87,1821,England,Manchester City
414,T. Hazard,23,80,84,1982,Belgium,Borussia Mönchengladbach
415,V. Germain,26,80,81,2009,France,AS Monaco
416,P. Ntep,23,80,83,1927,France,VfL Wolfsburg
417,L. Kurzawa,23,80,85,2137,France,Paris Saint-Germain
418,Rafinha,23,80,85,2081,Brazil,FC Barcelona
419,Nacho Fernández,26,80,82,1831,Spain,Real Madrid
420,J. Iličić,28,80,80,1950,Slovenia,Fiorentina
421,K. Volland,23,80,84,2065,Germany,Bayer 04 Leverkusen
422,H. Son,23,80,83,1951,Korea Republic,Tottenham Hotspur
423,Allan,25,80,82,2103,Brazil,Napoli
424,P. Hernández,29,80,80,2068,Chile,RC Celta
425,Sergi Roberto,24,80,85,2066,Spain,FC Barcelona
426,D. Tadić,27,80,80,1968,Serbia,Southampton
427,D. Tadić,27,80,80,1968,Serbia,Southampton
428,Pablo Sarabia,24,80,83,1874,Spain,Sevilla FC
429,A. Oxlade-Chamberlain,22,80,85,2005,England,Arsenal
430,W. Zaha,23,80,84,1894,Ivory Coast,Crystal Palace
431,M. Gabbiadini,24,80,84,1922,Italy,Southampton
432,J. Guilavogui,25,80,82,1975,France,VfL Wolfsburg
433,P. Herrmann,25,80,81,1928,Germany,Borussia Mönchengladbach
434,S. Coates,25,80,82,1650,Uruguay,Sporting CP
435,O. Özyakup,23,80,85,2130,Turkey,Beşiktaş JK
436,Y. Rakitskyi,26,80,82,2115,Ukraine,Shakhtar Donetsk
437,P. Jones,24,80,83,1885,England,Manchester United
438,Neto,26,80,80,1275,Brazil,Juventus
439,Hugo Mallo,25,80,83,1915,Spain,RC Celta
440,D. Didavi,26,80,81,2070,Germany,VfL Wolfsburg
442,Y. Belhanda,26,80,80,2137,Morocco,OGC Nice
443,O. Baumann,26,80,82,1177,Germany,TSG 1899 Hoffenheim
444,Mário Fernandes,25,80,81,2054,Russia,PFC CSKA Moscow
445,R. Soriano,25,80,81,2115,Italy,Villarreal CF
446,R. Rodríguez,23,80,83,2203,Switzerland,VfL Wolfsburg
447,J. Corona,23,80,84,1957,Mexico,FC Porto
448,M. Gonalons,27,80,81,2023,France,Olympique Lyonnais
449,A. Areola,23,80,88,1273,France,Paris Saint-Germain
450,Y. Mallı,24,80,83,1938,Turkey,VfL Wolfsburg
451,S. El Shaarawy,23,80,83,1876,Italy,Roma
452,M. Antonio,26,80,81,2082,England,West Ham United
453,Iago Falqué,26,80,80,1936,Spain,Torino
454,M. Hitz,28,80,80,1198,Switzerland,FC Augsburg
455,T. Kolodziejczak,24,80,84,1834,France,Borussia Mönchengladbach
456,W. Bony,27,80,80,1910,Ivory Coast,Stoke City
457,M. Lanzini,23,80,86,1895,Argentina,West Ham United
458,V. Wanyama,25,80,84,2094,Kenya,Tottenham Hotspur
459,M. Schmelzer,28,80,80,2001,Germany,Borussia Dortmund
460,R. Boudebouz,26,80,81,1965,Algeria,Montpellier HSC
461,Ganso,26,80,81,1901,Brazil,Sevilla FC
462,F. Smolov,26,80,81,1954,Russia,FC Krasnodar
463,C. Noboa,31,80,80,2184,Ecuador,FC Rostov
