,Name,Age,Overall,Potential,Special,Nationality,Club
65,Isco,22,83,88,1988,Spain,Real Madrid
66,D. Alaba,22,83,88,2256,Austria,FC Bayern München
67,J. Martínez,27,83,83,2063,Colombia,FC Porto
68,B. Leno,22,83,86,1412,Germany,Bayer 04 Leverkusen
69,N. Otamendi,26,83,86,1993,Argentina,Valencia CF
70,N. Matić,25,83,86,2148,Serbia,Chelsea
71,Pedro,26,83,86,1979,Spain,FC Barcelona
72,Hulk,27,83,83,2138,Brazil,Zenit St. Petersburg
73,N. Gaitán,26,83,84,2033,Argentina,SL Benfica
74,F. Muslera,28,83,86,1510,Uruguay,Galatasaray SK
75,M. Mandžukić,28,83,83,1972,Croatia,Atlético Madrid
76,E. Džeko,28,83,83,1936,Bosnia Herzegovina,Manchester City
77,M. Pjanić,24,83,85,2138,Bosnia Herzegovina,Roma
78,David Luiz,27,83,84,2117,Brazil,Paris Saint-Germain
79,C. Bravo,31,83,83,1472,Chile,FC Barcelona
80,A. Candreva,27,83,85,2117,Italy,Lazio
81,C. Marchisio,28,83,83,2228,Italy,Juventus
82,Naldo,31,83,83,1972,Brazil,VfL Wolfsburg
83,D. Sturridge,24,83,86,1953,England,Liverpool
84,B. Matuidi,27,83,85,2171,France,Paris Saint-Germain
85,E. Garay,27,83,83,1940,Argentina,Zenit St. Petersburg
86,C. Vela,25,83,86,1992,Mexico,Real Sociedad
87,I. Rakitić,26,83,84,2112,Croatia,FC Barcelona
88,Miranda,29,83,83,1865,Brazil,Atlético Madrid
89,S. Sirigu,27,83,83,1387,Italy,Paris Saint-Germain
90,S. Ruffier,27,83,84,1407,France,AS Saint-Étienne
91,S. Handanovič,29,83,83,1383,Slovenia,Inter
92,João Moutinho,27,83,83,2241,Portugal,AS Monaco
93,J. Farfán,29,83,83,2074,Peru,FC Schalke 04
94,J. Hart,27,83,83,1357,England,Manchester City
95,K. Huntelaar,30,83,83,1897,Netherlands,FC Schalke 04
96,Dani Alves,31,83,83,2196,Brazil,FC Barcelona
97,Negredo,28,83,83,2010,Spain,Valencia CF
98,P. Zabaleta,29,83,83,2100,Argentina,Manchester City
99,J. Mascherano,30,83,83,2041,Argentina,FC Barcelona
100,A. Barzagli,33,83,83,1727,Italy,Juventus
101,Pepe,31,83,83,1864,Portugal,Real Madrid
102,Victor Valdés,32,83,83,1436,Spain,Manchester United
103,D. De Rossi,30,83,83,2150,Italy,Roma
104,J. Terry,33,83,83,1735,England,Chelsea
105,A. Pirlo,35,83,83,1976,Italy,New York City FC
106,G. Buffon,36,83,83,1387,Italy,Juventus
107,Lucas,21,82,87,2057,Brazil,Paris Saint-Germain
108,A. Griezmann,23,82,88,2040,France,Atlético Madrid
109,Koke,22,82,85,2092,Spain,Atlético Madrid
110,A. Lacazette,23,82,86,2048,France,Olympique Lyonnais
111,J. Cuadrado,26,82,84,2101,Colombia,Chelsea
112,M. ter Stegen,22,82,86,1411,Germany,FC Barcelona
113,C. Eriksen,22,82,86,2001,Denmark,Tottenham Hotspur
114,S. Kagawa,25,82,84,1907,Japan,Borussia Dortmund
115,Coutinho,22,82,86,1943,Brazil,Liverpool
116,I. Gündoğan,23,82,86,2143,Germany,Borussia Dortmund
117,A. Ramsey,23,82,86,2139,Wales,Arsenal
118,S. Feghouli,24,82,86,1992,Algeria,Valencia CF
119,Willian,25,82,84,1996,Brazil,Chelsea
120,B. Höwedes,26,82,83,1880,Germany,FC Schalke 04
121,Jonas,30,82,82,1969,Brazil,SL Benfica
122,Jonas,30,82,82,1969,Brazil,SL Benfica
123,Marcelo,26,82,85,2169,Brazil,Real Madrid
124,D. Mertens,27,82,85,2028,Belgium,Napoli
125,L. Piszczek,29,82,82,2136,Poland,Borussia Dortmund
126,Sokratis,26,82,84,1959,Greece,Borussia Dortmund
127,J. Vertonghen,27,82,82,2089,Belgium,Tottenham Hotspur
128,A. Begović,27,82,82,1369,Bosnia Herzegovina,Stoke City
129,M. Hamšik,26,82,84,2090,Slovakia,Napoli
130,G. dos Santos,25,82,85,1948,Mexico,LA Galaxy
131,Diego Alves,29,82,82,1494,Brazil,Valencia CF
132,L. Koscielny,28,82,82,1853,France,Arsenal
133,J. Błaszczykowski,28,82,82,2123,Poland,Borussia Dortmund
134,S. Mandanda,29,82,82,1359,France,Olympique de Marseille
135,G. Rossi,27,82,82,1942,Italy,Fiorentina
136,I. Akinfeev,28,82,82,1363,Russia,PFC CSKA Moscow
137,Gabi,30,82,82,2133,Spain,Atlético Madrid
138,N. Vidić,32,82,82,1622,Serbia,Inter
139,Nani,27,82,82,1977,Portugal,Sporting CP
140,Kaká,32,82,82,1895,Brazil,Orlando City SC
141,J. Toulalan,30,82,82,1952,France,AS Monaco
142,Aduriz,33,82,82,1984,Spain,Athletic Club de Bilbao
143,P. Mertesacker,29,82,82,1599,Germany,Arsenal
144,Júlio César,34,82,82,1419,Brazil,SL Benfica
145,Danny,30,82,82,1976,Portugal,Zenit St. Petersburg
146,C. Bacca,27,81,81,1962,Colombia,Sevilla FC
147,Roberto Firmino,22,81,86,1967,Brazil,TSG 1899 Hoffenheim
148,R. Varane,21,81,88,1856,France,Real Madrid
149,R. Rodriguez,21,81,86,2158,Switzerland,VfL Wolfsburg
150,M. Gonalons,25,81,84,2067,France,Olympique Lyonnais
151,J. Pastore,25,81,86,2091,Argentina,Paris Saint-Germain
152,W. Bony,25,81,84,1939,Ivory Coast,Manchester City
153,K. Strootman,24,81,85,2116,Netherlands,Roma
154,Parejo,25,81,86,2095,Spain,Valencia CF
155,Thiago,23,81,85,2103,Spain,FC Bayern München
156,J. Wilshere,22,81,84,2130,England,Arsenal
157,Jordi Alba,25,81,85,2199,Spain,FC Barcelona
158,P. Aubameyang,25,81,83,2023,Gabon,Borussia Dortmund
159,Alex Teixeira,24,81,84,2044,Brazil,Shakhtar Donetsk
160,Luiz Gustavo,26,81,82,2046,Brazil,VfL Wolfsburg
161,Ramires,27,81,81,2182,Brazil,Chelsea
162,Azpilicueta,24,81,83,2071,Spain,Chelsea
163,S. Giovinco,27,81,81,1974,Italy,Toronto FC
164,C. Benteke,23,81,84,1918,Belgium,Aston Villa
165,N. Subotić,25,81,83,1874,Serbia,Borussia Dortmund
166,S. Jovetić,24,81,84,2022,Montenegro,Manchester City
168,R. Nainggolan,26,81,84,2239,Belgium,Roma
169,B. Ivanović,30,81,81,1972,Serbia,Chelsea
170,J. Hernández,26,81,83,1925,Mexico,Real Madrid
171,Y. Sommer,25,81,84,1442,Switzerland,Borussia Mönchengladbach
172,L. Bender,25,81,83,2051,Germany,Bayer 04 Leverkusen
173,D. Payet,27,81,82,2041,France,Olympique de Marseille
174,M. Schneiderlin,24,81,85,2059,France,Southampton
175,M. Valbuena,29,81,81,1953,France,Dinamo Moscow
176,Leandro Castán,27,81,82,1668,Brazil,Roma
177,N. Şahin,25,81,83,2056,Turkey,Borussia Dortmund
178,Gervinho,27,81,81,1910,Ivory Coast,Roma
179,G. Cahill,28,81,81,1856,England,Chelsea
180,Filipe Luís,28,81,81,2120,Brazil,Chelsea
181,L. Baines,29,81,81,2236,England,Everton
182,Borja Valero,29,81,81,2102,Spain,Fiorentina
183,Borja Valero,29,81,81,2102,Spain,Fiorentina
184,Dante,30,81,81,1975,Brazil,FC Bayern München
185,C. Dempsey,31,81,81,2028,United States,Seattle Sounders FC
186,A. Gignac,28,81,81,1980,France,Olympique de Marseille
187,Diego López,32,81,81,1360,Spain,Milan
188,Jesús Navas,28,81,81,1911,Spain,Manchester City
189,V. Enyeama,31,81,81,1540,Nigeria,LOSC Lille
190,Fernandinho,29,81,81,2170,Brazil,Manchester City
191,T. Motta,31,81,81,2061,Italy,Paris Saint-Germain
192,D. Drogba,36,81,81,1986,Ivory Coast,Montreal Impact
193,S. Gerrard,34,81,81,2195,England,LA Galaxy
194,S. Eto'o,33,81,81,2026,Cameroon,Sampdoria
195,R. Weidenfeller,33,81,81,1340,Germany,Borussia Dortmund
196,A. Laporte,20,80,85,1784,France,Athletic Club de Bilbao
198,Marquinhos,20,80,87,1853,Brazil,Paris Saint-Germain
199,K. Bellarabi,24,80,83,1934,Germany,Bayer 04 Leverkusen
200,R. Sterling,19,80,86,1952,England,Liverpool
201,J. Draxler,20,80,85,1959,Germany,FC Schalke 04
202,Paco Alcácer,20,80,86,1914,Spain,Valencia CF
203,J. Cillessen,25,80,84,1396,Netherlands,Ajax
204,A. Lopes,23,80,85,1450,Portugal,Olympique Lyonnais
205,D. Tadić,25,80,82,1979,Serbia,Southampton
206,Rodrigo,23,80,86,1984,Spain,Valencia CF
207,G. Krychowiak,24,80,84,1965,Poland,Sevilla FC
208,E. Pérez,28,80,80,2235,Argentina,Valencia CF
209,G. Medel,26,80,82,2016,Chile,Inter
210,X. Shaqiri,22,80,84,2137,Switzerland,Inter
211,A. Schürrle,23,80,83,2052,Germany,VfL Wolfsburg
212,H. Mkhitaryan,25,80,83,2103,Armenia,Borussia Dortmund
213,H. Badstuber,25,80,82,1872,Germany,FC Bayern München
214,D. Subašić,29,80,80,1464,Croatia,AS Monaco
215,R. Lukaku,21,80,86,1903,Belgium,Everton
216,G. Töre,22,80,85,2056,Turkey,Beşiktaş JK
217,E. Salvio,23,80,83,2043,Argentina,SL Benfica
218,K. Glik,26,80,82,1527,Poland,Torino
219,Douglas Costa,23,80,84,2075,Brazil,Shakhtar Donetsk
220,K. Trapp,23,80,84,1359,Germany,Eintracht Frankfurt
221,S. Doumbia,26,80,82,2019,Ivory Coast,Roma
222,J. McCarthy,23,80,83,2084,Republic of Ireland,Everton
223,Camacho,24,80,83,2039,Spain,Málaga CF
224,O. Kıvrak,26,80,82,1412,Turkey,Trabzonspor
225,M. Balotelli,23,80,83,1902,Italy,Liverpool
226,M. Musacchio,23,80,86,1910,Argentina,Villarreal CF
227,José Callejón,27,80,82,1929,Spain,Napoli
228,L. Bonucci,27,80,82,1847,Italy,Juventus
229,P. Piatti,25,80,84,2029,Argentina,Valencia CF
230,M. Sakho,24,80,81,1734,France,Liverpool
231,Beto,32,80,80,1366,Portugal,Sevilla FC
232,M. Cáceres,27,80,82,1923,Uruguay,Juventus
233,A. Lallana,26,80,81,2003,England,Liverpool
234,S. Coleman,25,80,82,2071,Republic of Ireland,Everton
235,O. Cardozo,31,80,80,1811,Paraguay,Trabzonspor
236,L. Rémy,27,80,80,1951,France,Chelsea
237,Sergio Asenjo,25,80,83,1426,Spain,Villarreal CF
238,E. Banega,26,80,85,2085,Argentina,Sevilla FC
239,O. Giroud,27,80,80,1918,France,Arsenal
240,Rui Patrício,26,80,83,1434,Portugal,Sporting CP
241,Kiko Casilla,27,80,80,1389,Spain,RCD Espanyol
242,S. Bender,25,80,82,1969,Germany,Borussia Dortmund
243,A. Witsel,25,80,85,2159,Belgium,Zenit St. Petersburg
244,A. Witsel,25,80,85,2159,Belgium,Zenit St. Petersburg
245,Bojan,23,80,83,1847,Spain,Stoke City
246,S. Mignolet,26,80,80,1375,Belgium,Liverpool
247,K. Mirallas,26,80,80,2062,Belgium,Everton
248,Y. Cabaye,28,80,80,2158,France,Paris Saint-Germain
249,A. Valencia,28,80,80,2070,Ecuador,Manchester United
250,G. Castro,27,80,81,2152,Germany,Bayer 04 Leverkusen
251,M. Škrtel,29,80,80,1692,Slovakia,Liverpool
252,T. Walcott,25,80,82,1957,England,Arsenal
253,M. Boussoufa,29,80,80,2046,Morocco,Lokomotiv Moscow
254,Llorente,29,80,80,1764,Spain,Juventus
255,L. Perrin,28,80,80,2014,France,AS Saint-Étienne
256,L. Biglia,28,80,80,2084,Argentina,Lazio
257,M. Debuchy,28,80,80,2109,France,Arsenal
258,A. Song,26,80,80,2000,Cameroon,West Ham United
259,Raúl Albiol,28,80,80,1742,Spain,Napoli
260,R. Palacio,32,80,80,2116,Argentina,Inter
261,D. Agger,29,80,80,1960,Denmark,Brøndby IF
262,M. Gomez,28,80,80,1799,Germany,Fiorentina
263,Luisão,33,80,80,1725,Brazil,SL Benfica
264,I. Denisov,30,80,80,2112,Russia,Dinamo Moscow
265,V. Demirel,32,80,80,1318,Turkey,Fenerbahçe SK
266,L. González,33,80,80,2127,Argentina,River Plate
267,S. Kießling,30,80,80,1932,Germany,Bayer 04 Leverkusen
268,Diego,29,80,80,2016,Brazil,Fenerbahçe SK
269,Alex,32,80,80,1789,Brazil,Milan
270,C. Carrasso,32,80,80,1312,France,FC Girondins de Bordeaux
271,D. Benaglio,30,80,80,1375,Switzerland,VfL Wolfsburg
272,David Villa,32,80,80,1971,Spain,New York City FC
273,J. Mathieu,30,80,80,2019,France,FC Barcelona
274,Moyá,30,80,80,1319,Spain,Atlético Madrid
275,P. Jagielka,31,80,80,1960,England,Everton
276,J. Defoe,31,80,80,1907,England,Sunderland
277,Fernando Torres,30,80,80,1925,Spain,Atlético Madrid
278,D. Berbatov,33,80,80,1914,Bulgaria,AS Monaco
279,José Reina,31,80,80,1394,Spain,FC Bayern München
280,Quaresma,30,80,80,1962,Portugal,FC Porto
281,M. Klose,36,80,80,1813,Germany,Lazio
282,T. Rosický,33,80,80,2010,Czech Republic,Arsenal
283,Tiago,33,80,80,2057,Portugal,Atlético Madrid
284,F. Totti,37,80,80,1913,Italy,Roma
285,N. Fékir,20,79,86,2009,France,Olympique Lyonnais
286,William Carvalho,22,79,86,1986,Portugal,Sporting CP
287,Alberto Moreno,21,79,84,2058,Spain,Liverpool
288,Carvajal,22,79,83,2005,Spain,Real Madrid
289,Iñigo Martínez,23,79,83,1860,Spain,Real Sociedad
290,M. Depay,20,79,87,2023,Netherlands,PSV
291,M. Rojo,24,79,82,1997,Argentina,Manchester United
292,K. Volland,21,79,84,2066,Germany,TSG 1899 Hoffenheim
293,Vitolo,24,79,82,1877,Spain,Sevilla FC
294,André André,24,79,82,2097,Portugal,Vitória Guimarães
295,Nolito,27,79,79,1988,Spain,RC Celta
296,G. Xhaka,21,79,83,1979,Switzerland,Borussia Mönchengladbach
297,Danilo,22,79,85,2228,Brazil,FC Porto
298,L. Insigne,23,79,85,1872,Italy,Napoli
299,S. de Vrij,22,79,84,1791,Netherlands,Lazio
301,D. Lovren,24,79,81,1711,Croatia,Liverpool
302,R. Cabella,24,79,83,2027,France,Newcastle United
303,R. Pereyra,23,79,85,2137,Argentina,Juventus
304,K. Navas,27,79,79,1433,Costa Rica,Real Madrid
305,K. Navas,27,79,79,1433,Costa Rica,Real Madrid
306,K. Manolas,23,79,84,1638,Greece,Roma
307,M. Baša,31,79,79,1770,Montenegro,LOSC Lille
308,C. Immobile,24,79,83,1906,Italy,Borussia Dortmund
309,Ander Herrera,24,79,84,1997,Spain,Manchester United
310,D. Blind,24,79,83,1997,Netherlands,Manchester United
311,Illarramendi,24,79,84,2042,Spain,Real Madrid
312,E. Mangala,23,79,83,1835,France,Manchester City
313,Canales,23,79,83,1873,Spain,Real Sociedad
314,Guaita,27,79,80,1370,Spain,Getafe CF
315,Muniaín,21,79,84,1988,Spain,Athletic Club de Bilbao
316,S. Rondón,24,79,82,1812,Venezuela,Zenit St. Petersburg
317,Daniel Carriço,25,79,79,1938,Portugal,Sevilla FC
318,R. Bürki,23,79,83,1410,Switzerland,SC Freiburg
319,N. Nkoulou,24,79,82,1896,Cameroon,Olympique de Marseille
320,Taison,26,79,80,1969,Brazil,Shakhtar Donetsk
321,A. Dzagoev,24,79,84,1971,Russia,PFC CSKA Moscow
322,L. Stindl,25,79,81,2093,Germany,Hannover 96
323,K. Asamoah,25,79,83,2133,Ghana,Juventus
324,F. Djordjevic,26,79,82,1891,Serbia,Lazio
325,R. Zieler,25,79,83,1307,Germany,Hannover 96
326,O. Toprak,24,79,82,1818,Turkey,Bayer 04 Leverkusen
327,Y. Brahimi,24,79,85,1948,Algeria,FC Porto
328,Bruno,30,79,79,2004,Spain,Villarreal CF
329,J. Henderson,24,79,84,2137,England,Liverpool
330,Roberto,28,79,79,1401,Spain,Olympiacos CFP
331,M. Kruse,26,79,81,2034,Germany,Borussia Mönchengladbach
332,E. Choupo-Moting,25,79,82,1945,Cameroon,FC Schalke 04
333,B. Dzsudzsák,27,79,81,1940,Hungary,Dinamo Moscow
334,V. Ćorluka,28,79,79,1851,Croatia,Lokomotiv Moscow
335,I. Perišić,25,79,82,2057,Croatia,VfL Wolfsburg
336,Luiz Adriano,27,79,79,1843,Brazil,Shakhtar Donetsk
337,Hernanes,29,79,79,2100,Brazil,Inter
338,D. N'Doye,29,79,79,1932,Senegal,Hull City
339,R. Fährmann,25,79,82,1317,Germany,FC Schalke 04
340,S. Kjær,25,79,80,1809,Denmark,LOSC Lille
341,B. Ruíz,28,79,79,1957,Costa Rica,Fulham
342,A. Ayew,24,79,82,2115,Ghana,Olympique de Marseille
343,Lucas Leiva,27,79,79,1912,Brazil,Liverpool
344,Pedro León,27,79,80,1928,Spain,Getafe CF
345,K. Boateng,27,79,81,2219,Ghana,FC Schalke 04
346,M. Sow,28,79,79,1993,Senegal,Fenerbahçe SK
347,A. Guardado,27,79,79,2112,Mexico,PSV
348,Fábio Coentrão,26,79,82,2113,Portugal,Real Madrid
349,Raúl García,27,79,79,2141,Spain,Atlético Madrid
350,Mario Suárez,27,79,81,2056,Spain,Atlético Madrid
351,F. Guarín,28,79,80,2247,Colombia,Inter
352,R. Vlaar,29,79,79,1852,Netherlands,Aston Villa
353,R. Shirokov,32,79,79,2069,Russia,FC Krasnodar
354,R. Elm,26,79,82,2148,Sweden,Kalmar FF
355,B. Sagna,31,79,79,2024,France,Manchester City
356,M. Dembélé,26,79,79,2129,Belgium,Tottenham Hotspur
357,Javi García,27,79,80,2080,Spain,Zenit St. Petersburg
358,E. Lavezzi,29,79,79,1959,Argentina,Paris Saint-Germain
359,G. Inler,30,79,79,2096,Switzerland,Napoli
360,B. Costil,26,79,81,1306,France,Stade Rennais FC
361,Manuel Fernandes,28,79,79,2162,Portugal,Lokomotiv Moscow
362,T. Vermaelen,28,79,79,2002,Belgium,FC Barcelona
363,R. Eremenko,27,79,82,2072,Finland,PFC CSKA Moscow
364,Y. Gourcuff,27,79,79,2028,France,Olympique Lyonnais
365,R. Mavuba,30,79,79,1987,France,LOSC Lille
366,R. Mavuba,30,79,79,1987,France,LOSC Lille
367,Juanfran,29,79,79,2075,Spain,Atlético Madrid
368,Soldado,29,79,79,1986,Spain,Tottenham Hotspur
369,Arbeloa,31,79,79,1957,Spain,Real Madrid
370,Xabi Prieto,30,79,79,1921,Spain,Real Sociedad
371,Javi Fuego,30,79,79,2013,Spain,Valencia CF
372,Raffael,29,79,79,2036,Brazil,Borussia Mönchengladbach
373,G. Rodríguez,30,79,79,1837,Argentina,Fiorentina
374,G. Ochoa,28,79,79,1362,Mexico,Málaga CF
375,D. Srna,32,79,79,2179,Croatia,Shakhtar Donetsk
376,F. Marchetti,31,79,79,1417,Italy,Lazio
377,Helton,36,79,79,1479,Brazil,FC Porto
378,J. Milner,28,79,79,2142,England,Manchester City
379,M. Vorm,30,79,79,1437,Netherlands,Tottenham Hotspur
380,Sergio García,31,79,79,1912,Spain,RCD Espanyol
381,Felipe Melo,31,79,79,2153,Brazil,Galatasaray SK
382,Maicon,32,79,79,2165,Brazil,Roma
383,M. Demichelis,33,79,79,1601,Argentina,Manchester City
384,B. Yılmaz,28,79,79,1975,Turkey,Galatasaray SK
385,N. de Jong,29,79,79,1971,Netherlands,Milan
386,P. Evra,33,79,79,1998,France,Juventus
387,S. Mauri,34,79,79,2130,Italy,Lazio
388,Joaquín,32,79,79,1952,Spain,Fiorentina
389,Mikel Arteta,32,79,79,2111,Spain,Arsenal
391,M. Carrick,32,79,79,2046,England,Manchester United
392,T. Howard,35,79,79,1373,United States,Everton
393,G. Barry,33,79,79,2043,England,Everton
394,F. Lampard,36,79,79,2081,England,New York City FC
395,M. Stranzl,34,79,79,1677,Austria,Borussia Mönchengladbach
396,R. Keane,33,79,79,1968,Republic of Ireland,LA Galaxy
397,Y. Lodygin,24,78,83,1294,Russia,Zenit St. Petersburg
398,L. Marković,20,78,85,1866,Serbia,Liverpool
399,D. Berardi,19,78,83,1923,Italy,Sassuolo
400,Y. Ferreira Carrasco,20,78,84,1888,Belgium,AS Monaco
401,A. Samaris,25,78,82,2051,Greece,SL Benfica
402,H. Çalhanoğlu,20,78,83,1976,Turkey,Bayer 04 Leverkusen
403,L. Vietto,20,78,85,1994,Argentina,Villarreal CF
404,Bernard,21,78,84,1908,Brazil,Shakhtar Donetsk
405,S. Savić,23,78,82,1676,Montenegro,Fiorentina
406,V. Ibarbo,24,78,81,1911,Colombia,Roma
407,Joãozinho,25,78,81,2104,Brazil,FC Krasnodar
408,A. Carrillo,23,78,84,1905,Peru,Sporting CP
409,H. Kane,20,78,84,1972,England,Tottenham Hotspur
410,J. Geis,20,78,85,2161,Germany,1. FSV Mainz 05
411,Felipe Anderson,21,78,87,1802,Brazil,Lazio
412,Rafinha,21,78,82,2029,Brazil,FC Barcelona
413,Morata,21,78,86,1870,Spain,Juventus
414,Cristian Tello,22,78,83,1862,Spain,FC Porto
415,S. Rode,23,78,82,2050,Germany,FC Bayern München
416,Allan,23,78,81,2033,Brazil,Udinese
417,B. Martins Indi,22,78,83,1774,Netherlands,FC Porto
418,R. Barkley,20,78,86,1951,England,Everton
419,A. Oxlade-Chamberlain,20,78,84,1933,England,Arsenal
420,P. Herrmann,23,78,83,1928,Germany,Borussia Mönchengladbach
421,A. Abdennour,24,78,80,1880,Tunisia,AS Monaco
422,M. Perin,21,78,85,1349,Italy,Genoa
423,P. Djilobodji,25,78,83,1724,Senegal,FC Nantes
424,Arribas,25,78,81,1680,Spain,Sevilla FC
425,J. Matip,22,78,81,1892,Cameroon,FC Schalke 04
426,P. Jones,22,78,82,1859,England,Manchester United
427,P. Jones,22,78,82,1859,England,Manchester United
428,Neto,24,78,82,1345,Brazil,Fiorentina
429,O. Baumann,24,78,81,1322,Germany,TSG 1899 Hoffenheim
430,S. Mustafi,22,78,85,1868,Germany,Valencia CF
431,A. Kokorin,23,78,82,1964,Russia,Dinamo Moscow
432,Alex Sandro,23,78,83,2106,Brazil,FC Porto
433,S. El Shaarawy,21,78,84,1864,Italy,Milan
434,T. Jantschke,24,78,80,1867,Germany,Borussia Mönchengladbach
435,De Marcos,25,78,82,2144,Spain,Athletic Club de Bilbao
436,C. Smalling,24,78,83,1677,England,Manchester United
437,Iturraspe,25,78,80,2005,Spain,Athletic Club de Bilbao
438,Iborra,26,78,80,2011,Spain,Sevilla FC
439,Susaeta,26,78,81,1945,Spain,Athletic Club de Bilbao
440,M. Schmelzer,26,78,79,1999,Germany,Borussia Dortmund
441,S. N'Zonzi,25,78,82,1981,France,Stoke City
442,C. Grenier,23,78,82,2032,France,Olympique Lyonnais
443,A. Dzyuba,25,78,83,1848,Russia,FC Rostov
444,W. Szczęsny,24,78,81,1346,Poland,Arsenal
445,D. Welbeck,23,78,83,1968,England,Arsenal
446,Mikel San José,25,78,81,1925,Spain,Athletic Club de Bilbao
447,A. Kolarov,28,78,78,2153,Serbia,Manchester City
448,Adrien Silva,25,78,81,2073,Portugal,Sporting CP
449,G. Sigurðsson,24,78,81,2016,Iceland,Swansea City
450,Fernando,26,78,78,2025,Brazil,Manchester City
451,T. Alderweireld,25,78,82,1934,Belgium,Southampton
452,M. Parolo,29,78,78,2100,Italy,Lazio
453,K. Mitroglou,26,78,81,1787,Greece,Olympiacos CFP
454,A. Chedjou,29,78,78,1958,Cameroon,Galatasaray SK
455,V. Stocker,25,78,81,2039,Switzerland,Hertha BSC
456,C. Beauvue,26,78,81,1997,France,En Avant de Guingamp
457,M. Pereira,30,78,78,2129,Uruguay,SL Benfica
458,G. Wijnaldum,23,78,83,2097,Netherlands,PSV
459,Lima,30,78,78,2020,Brazil,SL Benfica
460,F. Fazio,27,78,78,1614,Argentina,Tottenham Hotspur
