,Name,Age,Overall,Potential,Special,Nationality,Club
438,M. Destro,22,78,84,1841,Italy,Roma
439,A. Lacazette,22,78,84,1927,France,Olympique Lyonnais
440,K. Navas,26,78,82,1437,Costa Rica,Levante UD
441,E. Giaccherini,28,78,78,2057,Italy,Sunderland
442,R. Hamouma,26,78,81,1962,France,AS Saint-Étienne
443,A. Kokorin,22,78,82,1964,Russia,Dinamo Moscow
444,Maicon,24,78,82,1846,Brazil,FC Porto
445,K. Glik,25,78,79,1520,Poland,Torino
446,Muniaín,20,78,83,1915,Spain,Athletic Club de Bilbao
447,Iturraspe,24,78,82,1937,Spain,Athletic Club de Bilbao
448,Susaeta,25,78,84,1912,Spain,Athletic Club de Bilbao
449,S. Rondón,23,78,81,1807,Venezuela,Zenit St. Petersburg
450,S. Reinartz,24,78,80,1880,Germany,Bayer 04 Leverkusen
451,Taison,25,78,82,1961,Brazil,Shakhtar Donetsk
452,M. Schmelzer,25,78,81,2034,Germany,Borussia Dortmund
453,L. Holtby,22,78,81,2072,Germany,Fulham
454,Alex Teixeira,23,78,81,2006,Brazil,Shakhtar Donetsk
455,M. Suárez,25,78,80,1875,Argentina,RSC Anderlecht
456,Camacho,23,78,81,1953,Spain,Málaga CF
457,S. N'Zonzi,24,78,81,1961,France,Stoke City
458,C. Grenier,22,78,85,2014,France,Olympique Lyonnais
459,Ganso,23,78,84,1859,Brazil,São Paulo
460,Y. M'Vila,23,78,86,2021,France,Rubin Kazan
461,R. Zieler,24,78,83,1304,Germany,Hannover 96
462,D. Welbeck,22,78,83,1973,England,Manchester United
463,M. Stoch,23,78,83,1895,Slovakia,PAOK
464,K. Gibbs,23,78,82,2021,England,Arsenal
465,A. Kolarov,27,78,79,2137,Serbia,Manchester City
466,Thiago Neves,28,78,78,1932,Brazil,Al Hilal
467,Adrien Silva,24,78,83,2114,Portugal,Sporting CP
468,K. Papadopoulos,21,78,85,1804,Greece,FC Schalke 04
469,T. Alderweireld,24,78,82,1934,Belgium,Atlético Madrid
