,Name,Age,Overall,Potential,Special,Nationality,Club
135,Willian,23,82,86,1849,Brazil,FC Anzhi Makhachkala
136,B. Höwedes,24,82,85,1878,Germany,FC Schalke 04
137,O. Cardozo,29,82,82,1935,Paraguay,SL Benfica
138,J. Hernández,24,82,85,1941,Mexico,Manchester United
139,Rui Patrício,24,82,86,1287,Portugal,Sporting CP
140,Beñat,25,82,85,2153,Spain,Real Betis
141,M. Benatia,25,82,84,1748,Morocco,Udinese
142,L. Bender,23,82,84,2056,Germany,Bayer 04 Leverkusen
143,M. Valbuena,27,82,83,1961,France,Olympique de Marseille
144,D. Ba,27,82,82,2009,Senegal,Chelsea
145,B. Ruíz,26,82,84,1941,Costa Rica,Fulham
146,Marcelo,24,82,85,2167,Brazil,Real Madrid
147,L. Piszczek,27,82,83,2140,Poland,Borussia Dortmund
148,J. Vertonghen,25,82,85,2089,Belgium,Tottenham Hotspur
149,E. Garay,25,82,86,1987,Argentina,SL Benfica
150,E. Lamela,20,82,86,1974,Argentina,Roma
151,F. Guarín,26,82,86,2288,Colombia,Inter
152,S. Ruffier,25,82,84,1241,France,AS Saint-Étienne
153,M. Škrtel,27,82,83,1746,Slovakia,Liverpool
154,M. Boussoufa,27,82,82,2031,Morocco,FC Anzhi Makhachkala
155,L. Baines,27,82,84,2234,England,Everton
156,G. Rossi,25,82,84,1937,Italy,Fiorentina
157,F. Quagliarella,29,82,82,1964,Italy,Juventus
158,G. Inler,28,82,83,2167,Switzerland,Napoli
159,R. Palacio,30,82,82,2123,Argentina,Inter
160,A. Young,26,82,84,2011,England,Manchester United
161,R. Mavuba,28,82,84,2040,France,LOSC Lille
162,Diego López,30,82,82,1216,Spain,Real Madrid
163,G. Pazzini,27,82,82,1957,Italy,Milan
164,Jefferson,29,82,82,1185,Brazil,Botafogo
165,J. Toulalan,28,82,82,1965,France,Málaga CF
166,C. Ledesma,29,82,82,2114,Italy,Lazio
167,P. Evra,31,82,82,2076,France,Manchester United
168,J. Defoe,29,82,82,1884,England,Tottenham Hotspur
169,Fernando Torres,28,82,82,1972,Spain,Chelsea
170,Joaquín,30,82,82,1917,Spain,Málaga CF
171,Mikel Arteta,30,82,82,2194,Spain,Arsenal
172,D. Berbatov,31,82,82,1903,Bulgaria,Fulham
173,Ronaldinho,32,82,82,1921,Brazil,Atlético Mineiro
174,M. Carrick,30,82,82,2099,England,Manchester United
175,M. Landreau,33,82,82,1218,France,Sporting Club de Bastia
176,R. Weidenfeller,31,82,83,1175,Germany,Borussia Dortmund
177,C. Seedorf,36,82,82,2077,Netherlands,Botafogo
178,F. Totti,35,82,82,1967,Italy,Roma
180,R. Varane,19,81,88,1822,France,Real Madrid
181,De Gea,21,81,85,1269,Spain,Manchester United
182,J. Pastore,23,81,85,2020,Argentina,Paris Saint-Germain
183,J. Pastore,23,81,85,2020,Argentina,Paris Saint-Germain
184,Sandro,23,81,84,2067,Brazil,Tottenham Hotspur
185,C. Eriksen,20,81,87,1935,Denmark,Ajax
186,S. Doumbia,24,81,84,2032,Ivory Coast,PFC CSKA Moscow
188,K. Honda,26,81,85,2199,Japan,PFC CSKA Moscow
189,Luiz Gustavo,24,81,83,2059,Brazil,FC Bayern München
190,Ramires,25,81,84,2170,Brazil,Chelsea
191,S. Feghouli,22,81,84,1950,Algeria,Valencia CF
192,L. Bonucci,25,81,84,1978,Italy,Juventus
193,N. Gaitán,24,81,85,1990,Argentina,SL Benfica
194,M. Sakho,22,81,83,1748,France,Paris Saint-Germain
195,M. Cáceres,25,81,83,2054,Uruguay,Juventus
196,F. Muslera,26,81,87,1319,Uruguay,Galatasaray SK
197,A. Ranocchia,24,81,87,1698,Italy,Inter
198,Diego Costa,23,81,82,1955,Brazil,Atlético Madrid
200,P. Cissé,27,81,81,1920,Senegal,Newcastle United
201,S. Bender,23,81,84,1993,Germany,Borussia Dortmund
202,A. Witsel,23,81,87,2180,Belgium,Zenit St. Petersburg
203,D. Payet,25,81,84,2056,France,LOSC Lille
204,Jonas,28,81,81,1887,Brazil,Valencia CF
205,A. Ayew,22,81,85,2159,Ghana,Olympique de Marseille
206,Lucas Leiva,25,81,82,1977,Brazil,Liverpool
207,A. Candreva,25,81,85,2169,Italy,Lazio
208,D. Criscito,25,81,84,2095,Italy,Zenit St. Petersburg
209,B. Matuidi,25,81,83,2117,France,Paris Saint-Germain
210,N. Şahin,23,81,85,2048,Turkey,Borussia Dortmund
211,C. Vela,23,81,83,1929,Mexico,Real Sociedad
212,Y. Cabaye,26,81,84,2191,France,Newcastle United
213,Danilo,28,81,82,1782,Brazil,Udinese
214,Diego Alves,27,81,85,1349,Brazil,Valencia CF
215,L. Koscielny,26,81,82,1818,France,Arsenal
216,J. Błaszczykowski,26,81,83,2117,Poland,Borussia Dortmund
217,T. Walcott,23,81,85,1922,England,Arsenal
218,Filipe Luís,26,81,83,2112,Brazil,Atlético Madrid
219,S. Sessègnon,28,81,81,2096,Benin,Sunderland
220,M. Dembélé,24,81,84,2140,Belgium,Tottenham Hotspur
221,H. Ben Arfa,25,81,84,1992,France,Newcastle United
222,Fred,28,81,81,1862,Brazil,Fluminense
223,B. Gomis,26,81,81,1921,France,Olympique Lyonnais
224,T. Vermaelen,26,81,81,2026,Belgium,Arsenal
225,G. Clichy,26,81,82,1968,France,Manchester City
226,L. Podolski,27,81,83,1972,Germany,Arsenal
227,C. Maggio,30,81,81,2195,Italy,Napoli
228,I. Denisov,28,81,83,2142,Russia,Zenit St. Petersburg
229,P. Zabaleta,27,81,81,2088,Argentina,Manchester City
230,L. González,31,81,81,2148,Argentina,FC Porto
231,Michel Bastos,28,81,81,2179,Brazil,FC Schalke 04
232,Helton,34,81,81,1369,Brazil,FC Porto
233,J. Lescott,29,81,81,1824,England,Manchester City
234,J. Milner,26,81,82,2172,England,Manchester City
235,Bruno Alves,30,81,81,2006,Portugal,Zenit St. Petersburg
236,Vágner Love,28,81,81,1968,Brazil,PFC CSKA Moscow
237,M. Vorm,28,81,83,1306,Netherlands,Swansea City
238,Alex,34,81,81,1909,Brazil,Coritiba
239,S. İnan,27,81,83,2134,Turkey,Galatasaray SK
240,B. Yılmaz,26,81,81,2064,Turkey,Galatasaray SK
241,H. Campagnaro,32,81,81,1920,Argentina,Napoli
242,C. Carrasso,30,81,81,1168,France,FC Girondins de Bordeaux
243,S. Lichtsteiner,28,81,81,2173,Switzerland,Juventus
244,S. Lichtsteiner,28,81,81,2173,Switzerland,Juventus
245,A. Aquilani,27,81,84,2088,Italy,Fiorentina
246,N. de Jong,27,81,81,2031,Netherlands,Milan
247,F. Miccoli,33,81,81,2025,Italy,Palermo
248,D. Bent,28,81,81,1870,England,Aston Villa
249,T. Motta,29,81,81,2087,Italy,Paris Saint-Germain
250,F. Coloccini,30,81,81,1941,Argentina,Newcastle United
251,B. Hangeland,31,81,81,1668,Norway,Fulham
252,M. Essien,29,81,81,2134,Ghana,Real Madrid
253,P. Mexès,30,81,81,1849,France,Milan
254,C. Pizarro,33,81,81,1922,Peru,FC Bayern München
255,Danny,28,81,81,1958,Portugal,Zenit St. Petersburg
256,T. Howard,33,81,81,1243,United States,Everton
257,N. Anelka,33,81,81,1898,France,Juventus
258,F. Lampard,34,81,81,2173,England,Chelsea
259,C. Abbiati,34,81,81,1267,Italy,Milan
260,João Pereira,28,80,80,2063,Portugal,Valencia CF
261,Bernard,19,80,86,1927,Brazil,Atlético Mineiro
262,G. Ramirez,21,80,84,1993,Uruguay,Southampton
263,J. Martínez,25,80,83,2018,Colombia,FC Porto
264,Koke,20,80,85,2025,Spain,Atlético Madrid
265,A. Schürrle,21,80,85,2066,Germany,Bayer 04 Leverkusen
266,B. Leno,20,80,85,1230,Germany,Bayer 04 Leverkusen
267,M. ter Stegen,20,80,89,1239,Germany,Borussia Mönchengladbach
268,N. Otamendi,24,80,82,1832,Argentina,FC Porto
269,N. Matić,23,80,85,2118,Serbia,SL Benfica
270,W. Bony,23,80,82,1939,Ivory Coast,Vitesse
271,K. Strootman,22,80,85,2079,Netherlands,PSV
272,Guaita,25,80,84,1216,Spain,Valencia CF
273,Susaeta,24,80,82,1917,Spain,Athletic Club de Bilbao
274,N. N'Koulou,22,80,85,1912,Cameroon,Olympique de Marseille
275,A. Costa,27,80,83,2152,Argentina,Valencia CF
276,P. Aubameyang,23,80,83,2010,Gabon,AS Saint-Étienne
277,Réver,27,80,83,1874,Brazil,Atlético Mineiro
278,Paulinho,23,80,85,2173,Brazil,Corinthians
279,K. Asamoah,23,80,83,2202,Ghana,Juventus
280,S. Ulreich,23,80,82,1128,Germany,VfB Stuttgart
281,W. Szczęsny,22,80,84,1203,Poland,Arsenal
282,S. Giovinco,25,80,83,2005,Italy,Juventus
283,Fernando,24,80,83,2048,Brazil,FC Porto
284,A. Ogbonna,24,80,87,1832,Italy,Torino
285,B. Dzsudzsák,25,80,84,1941,Hungary,Dinamo Moscow
286,Lima,28,80,80,2051,Brazil,SL Benfica
287,Alexandre Pato,22,80,87,1922,Brazil,Corinthians
288,David Luiz,25,80,84,2076,Brazil,Chelsea
289,P. Osvaldo,26,80,81,1899,Italy,Roma
290,O. Giroud,25,80,80,1892,France,Arsenal
291,A. Cerci,24,80,85,2039,Italy,Torino
292,M. Fellaini,24,80,85,2097,Belgium,Everton
293,D. Mertens,25,80,83,1951,Belgium,PSV
294,C. Bravo,29,80,81,1333,Chile,Real Sociedad
295,D. Astori,25,80,84,1696,Italy,Cagliari
296,A. Begovic,25,80,84,1306,Bosnia Herzegovina,Stoke City
297,K. Mirallas,24,80,82,2017,Belgium,Everton
298,Naldo,29,80,80,1914,Brazil,VfL Wolfsburg
299,D. Sturridge,22,80,83,1892,England,Liverpool
300,Fábio Coentrão,24,80,84,2118,Portugal,Real Madrid
301,C. Tioté,26,80,83,2059,Ivory Coast,Newcastle United
302,Gervinho,25,80,80,1963,Ivory Coast,Arsenal
303,U. Emanuelson,26,80,81,2152,Netherlands,Fulham
304,Renato Augusto,24,80,84,1927,Brazil,Corinthians
305,Renato Augusto,24,80,84,1927,Brazil,Corinthians
306,Miranda,27,80,82,1851,Brazil,Atlético Madrid
307,G. Castro,25,80,81,2144,Germany,Bayer 04 Leverkusen
308,G. Cahill,26,80,83,1858,England,Chelsea
309,Andrè Dias,33,80,80,1827,Brazil,Lazio
310,L. Diarra,27,80,83,1992,France,FC Anzhi Makhachkala
311,B. Sagna,29,80,80,2041,France,Arsenal
312,Y. Kaboul,26,80,82,1823,France,Tottenham Hotspur
313,Amorebieta,27,80,82,1746,Venezuela,Athletic Club de Bilbao
314,I. Afellay,26,80,83,1963,Netherlands,FC Schalke 04
315,Raúl Albiol,26,80,84,1806,Spain,Real Madrid
316,C. Dempsey,29,80,80,2033,United States,Seattle Sounders FC
317,Y. Zhirkov,28,80,80,2127,Russia,FC Anzhi Makhachkala
318,A. Lennon,25,80,80,1845,England,Tottenham Hotspur
319,Luisão,31,80,80,1807,Brazil,SL Benfica
321,A. Anyukov,29,80,80,2113,Russia,Zenit St. Petersburg
322,V. Malafeev,33,80,80,1264,Russia,Zenit St. Petersburg
323,A. Samedov,27,80,80,2009,Russia,Lokomotiv Moscow
324,Verdú,29,80,80,1943,Spain,RCD Espanyol
325,Gabi,28,80,80,2111,Spain,Atlético Madrid
326,Xabi Prieto,28,80,80,1901,Spain,Real Sociedad
327,A. Gómez,24,80,84,2069,Argentina,Catania
328,G. Denis,30,80,80,1913,Argentina,Atalanta
329,W. Montillo,28,80,80,2012,Argentina,Santos
330,L. López,29,80,80,2070,Argentina,Olympique Lyonnais
331,W. Caballero,30,80,80,1255,Argentina,Málaga CF
332,D. Fletcher,28,80,80,2078,Scotland,Manchester United
333,A. D'Alessandro,31,80,80,1992,Argentina,Internacional
334,Diego Cavalieri,29,80,80,1100,Brazil,Fluminense
335,G. Pandev,28,80,80,2033,FYR Macedonia,Napoli
336,S. Kießling,28,80,80,1941,Germany,Bayer 04 Leverkusen
337,Luís Fabiano,31,80,80,1844,Brazil,São Paulo
338,Alex,30,80,80,1867,Brazil,Paris Saint-Germain
339,M. Demichelis,31,80,80,1625,Argentina,Málaga CF
340,K. Touré,31,80,80,1928,Ivory Coast,Manchester City
341,D. Benaglio,28,80,82,1214,Switzerland,VfL Wolfsburg
342,A. Kerzhakov,29,80,80,2025,Russia,Zenit St. Petersburg
343,P. Jagielka,29,80,80,1986,England,Everton
344,P. Mertesacker,27,80,80,1573,Germany,Arsenal
345,E. Adebayor,28,80,80,1875,Togo,Tottenham Hotspur
346,S. Pienaar,30,80,80,2047,South Africa,Everton
347,D. Forlán,33,80,80,1951,Uruguay,Internacional
348,F. Malouda,32,80,80,1980,France,Chelsea
349,D. Pizarro,32,80,80,2044,Chile,Fiorentina
350,B. Friedel,41,80,80,1260,United States,Tottenham Hotspur
351,S. Parker,31,80,80,2151,England,Tottenham Hotspur
352,T. Rosický,31,80,80,1975,Czech Republic,Arsenal
353,G. Barry,31,80,80,2079,England,Manchester City
354,C. Chivu,31,80,80,1975,Romania,Inter
355,M. De Sanctis,35,80,80,1124,Italy,Napoli
356,Tiago,31,80,80,2055,Portugal,Atlético Madrid
357,S. Frey,32,80,80,1186,France,Genoa
358,P. Cannavaro,31,80,80,1833,Italy,Napoli
359,R. Giggs,38,80,80,1999,Wales,Manchester United
360,E. Emenike,25,79,84,1803,Nigeria,Spartak Moscow
361,D. Tadić,23,79,84,1979,Serbia,FC Twente
362,Leandro Damião,22,79,86,1874,Brazil,Internacional
363,D. Alaba,20,79,83,2192,Austria,FC Bayern München
364,P. Pogba,19,79,87,2187,France,Juventus
365,A. Griezmann,21,79,84,1864,France,Real Sociedad
366,A. Griezmann,21,79,84,1864,France,Real Sociedad
367,Y. Belhanda,22,79,83,2155,Morocco,Montpellier HSC
368,X. Shaqiri,20,79,86,2087,Switzerland,FC Bayern München
369,J. Cuadrado,24,79,82,2049,Colombia,Fiorentina
370,K. De Bruyne,21,79,85,2014,Belgium,SV Werder Bremen
371,A. Ljajić,20,79,84,1972,Serbia,Fiorentina
372,E. Mangala,21,79,85,1854,France,FC Porto
373,L. de Jong,21,79,84,1918,Netherlands,Borussia Mönchengladbach
374,Thiago,21,79,86,1996,Spain,FC Barcelona
375,G. Bonaventura,22,79,85,2143,Italy,Atalanta
376,K. Trapp,21,79,83,1175,Germany,Eintracht Frankfurt
377,S. Lulić,26,79,84,2141,Bosnia Herzegovina,Lazio
378,K. Walker,22,79,83,2131,England,Tottenham Hotspur
379,B. Ecuélé Manga,23,79,82,1657,Gabon,FC Lorient
380,M. Isla,24,79,87,2119,Chile,Juventus
381,A. Dzagoev,22,79,86,2007,Russia,PFC CSKA Moscow
382,M. Diouf,24,79,83,1807,Senegal,Hannover 96
383,Y. M'Vila,22,79,86,2018,France,Rubin Kazan
384,Victor,29,79,79,1177,Brazil,Atlético Mineiro
385,D. Welbeck,21,79,84,1944,England,Manchester United
386,J. Biabiany,24,79,82,1953,France,Parma
387,Bruno,28,79,84,2011,Spain,Villarreal CF
388,M. Abdellaoue,26,79,82,1880,Norway,Hannover 96
389,J. Boateng,23,79,83,1865,Germany,FC Bayern München
390,A. Taarabt,23,79,82,1909,Morocco,Queens Park Rangers
391,L. Rémy,25,79,82,1959,France,Queens Park Rangers
392,E. Banega,24,79,84,2053,Argentina,Valencia CF
393,R. Nainggolan,24,79,84,2210,Belgium,Cagliari
394,E. Capoue,23,79,84,2035,France,Toulouse Football Club
395,M. Biševac,28,79,81,1791,Serbia,Olympique Lyonnais
396,C. Zapata,25,79,82,1732,Colombia,Milan
397,J. Zúñiga,26,79,82,2122,Colombia,Napoli
398,Pedro León,25,79,81,1926,Spain,Getafe CF
399,Adrián,24,79,84,1883,Spain,Atlético Madrid
400,Sokratis,24,79,83,1921,Greece,SV Werder Bremen
401,A. Pereira,26,79,82,2125,Uruguay,Inter
402,N. Spolli,29,79,79,1671,Argentina,Catania
403,Diego Capel,24,79,83,1876,Spain,Sporting CP
404,José Enrique,26,79,80,2077,Spain,Liverpool
405,C. Rodríguez,26,79,81,2072,Uruguay,Atlético Madrid
406,T. Krul,24,79,84,1261,Netherlands,Newcastle United
407,G. dos Santos,23,79,83,1904,Mexico,RCD Mallorca
408,M. Richards,24,79,83,2015,England,Manchester City
409,J. Evans,24,79,80,1699,Northern Ireland,Manchester United
410,I. Rakitić,24,79,84,2057,Croatia,Sevilla FC
411,I. Abate,25,79,81,2113,Italy,Milan
412,S. Kaya,21,79,86,1766,Turkey,Galatasaray SK
413,A. Johnson,24,79,82,1945,England,Sunderland
414,S. Radu,25,79,83,1919,Romania,Lazio
415,J. Mikel,25,79,82,1970,Nigeria,Chelsea
416,J. Féret,29,79,79,1992,France,Stade Rennais FC
417,N. Lombaerts,27,79,82,1832,Belgium,Zenit St. Petersburg
418,A. Consigli,25,79,84,1147,Italy,Atalanta
419,P. Barrientos,27,79,80,1919,Argentina,Catania
420,V. Ibišević,27,79,79,1820,Bosnia Herzegovina,VfB Stuttgart
421,A. Konko,28,79,79,2146,France,Lazio
422,V. Behrami,27,79,82,2160,Switzerland,Napoli
423,Javi García,25,79,82,2077,Spain,Manchester City
424,J. Ménez,25,79,83,2000,France,Paris Saint-Germain
425,Jesús Gámez,27,79,81,1945,Spain,Málaga CF
426,A. Hunt,25,79,81,2000,Germany,SV Werder Bremen
427,A. Hunt,25,79,81,2000,Germany,SV Werder Bremen
428,B. Costil,24,79,83,1151,France,Stade Rennais FC
429,A. Nocerino,27,79,82,2213,Italy,Milan
430,J. Arango,32,79,79,1899,Venezuela,Borussia Mönchengladbach
431,R. Eremenko,25,79,81,2040,Finland,Rubin Kazan
432,A. McGeady,26,79,82,1990,Republic of Ireland,Spartak Moscow
433,Y. Gourcuff,25,79,83,2039,France,Olympique Lyonnais
434,A. Al-Habsi,30,79,79,1289,Oman,Wigan Athletic
435,A. Arshavin,31,79,79,1905,Russia,Arsenal
436,I. Semshov,34,79,79,2141,Russia,Dinamo Moscow
437,M. Izmailov,29,79,79,1976,Russia,FC Porto
438,Juanfran,27,79,82,2063,Spain,Atlético Madrid
439,Andrés Fernández,25,79,81,1288,Spain,CA Osasuna
440,G. Rodríguez,28,79,81,1835,Argentina,Fiorentina
441,Jô,25,79,82,1862,Brazil,Atlético Mineiro
442,E. Cambiasso,31,79,79,2102,Argentina,Inter
443,G. Johnson,27,79,79,2072,England,Liverpool
444,Robinho,28,79,79,1935,Brazil,Milan
445,Felipe Melo,29,79,79,2198,Brazil,Galatasaray SK
446,Artur Moraes,31,79,79,1230,Brazil,SL Benfica
447,Maicon,30,79,79,2186,Brazil,Manchester City
448,S. Rolfes,30,79,79,2032,Germany,Bayer 04 Leverkusen
449,M. Dawson,28,79,79,1559,England,Tottenham Hotspur
450,F. Lodi,28,79,80,2057,Italy,Catania
451,Aduriz,31,79,79,1890,Spain,Athletic Club de Bilbao
452,T. Wiese,30,79,80,1200,Germany,TSG 1899 Hoffenheim
453,M. Domizzi,32,79,79,1892,Italy,Udinese
454,S. Sorrentino,33,79,79,1280,Italy,Palermo
455,M. Petrić,31,79,79,2044,Croatia,Fulham
456,Zé Roberto,37,79,79,2068,Brazil,Grêmio
457,M. Yepes,36,79,79,1651,Colombia,Milan
458,J. Riquelme,34,79,79,1853,Argentina,Boca Juniors
459,P. Aimar,32,79,79,1887,Argentina,SL Benfica
460,S. Kehl,32,79,79,1987,Germany,Borussia Dortmund
461,M. Stekelenburg,29,79,79,1132,Netherlands,Roma
462,M. Di Vaio,35,79,79,1937,Italy,Montreal Impact
463,M. Schwarzer,39,79,79,1243,Australia,Fulham
464,R. Keane,31,79,79,1940,Republic of Ireland,LA Galaxy
466,Iñigo Martínez,21,78,81,1845,Spain,Real Sociedad
467,J. Draxler,18,78,85,1914,Germany,FC Schalke 04
468,Juan,21,78,85,1819,Brazil,Inter
469,N. Chadli,22,78,82,2006,Belgium,FC Twente
